Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086338,2013,06,14.9,Y
IDCJAC0002,086338,2013,07,15.7,Y
IDCJAC0002,086338,2013,08,16.3,Y
IDCJAC0002,086338,2013,09,19.5,Y
IDCJAC0002,086338,2013,10,19.1,Y
IDCJAC0002,086338,2013,11,20.8,Y
IDCJAC0002,086338,2013,12,23.7,Y
IDCJAC0002,086338,2014,01,27.3,Y
IDCJAC0002,086338,2014,02,27.1,Y
IDCJAC0002,086338,2014,03,24.4,Y
IDCJAC0002,086338,2014,04,20.6,Y
IDCJAC0002,086338,2014,05,19.0,Y
IDCJAC0002,086338,2014,06,15.4,Y
IDCJAC0002,086338,2014,07,14.5,Y
IDCJAC0002,086338,2014,08,15.4,Y
IDCJAC0002,086338,2014,09,18.5,Y
IDCJAC0002,086338,2014,10,21.7,Y
IDCJAC0002,086338,2014,11,22.7,Y
IDCJAC0002,086338,2014,12,23.9,Y
IDCJAC0002,086338,2015,01,25.9,Y
IDCJAC0002,086338,2015,02,26.4,Y
IDCJAC0002,086338,2015,03,22.7,Y
IDCJAC0002,086338,2015,04,19.2,Y
IDCJAC0002,086338,2015,05,17.1,Y
IDCJAC0002,086338,2015,06,14.4,Y
IDCJAC0002,086338,2015,07,13.3,Y
IDCJAC0002,086338,2015,08,13.8,Y
IDCJAC0002,086338,2015,09,17.3,Y
IDCJAC0002,086338,2015,10,24.3,Y
IDCJAC0002,086338,2015,11,22.7,Y
IDCJAC0002,086338,2015,12,27.5,Y
IDCJAC0002,086338,2016,01,26.0,Y
IDCJAC0002,086338,2016,02,25.1,Y
IDCJAC0002,086338,2016,03,24.9,Y
IDCJAC0002,086338,2016,04,22.4,Y
IDCJAC0002,086338,2016,05,18.6,Y
IDCJAC0002,086338,2016,06,14.2,Y
IDCJAC0002,086338,2016,07,14.6,Y
IDCJAC0002,086338,2016,08,15.9,Y
IDCJAC0002,086338,2016,09,16.7,Y
IDCJAC0002,086338,2016,10,19.3,Y
IDCJAC0002,086338,2016,11,20.8,Y
IDCJAC0002,086338,2016,12,25.5,Y
IDCJAC0002,086338,2017,01,26.5,Y
IDCJAC0002,086338,2017,02,25.9,Y
IDCJAC0002,086338,2017,03,26.9,Y
IDCJAC0002,086338,2017,04,20.8,Y
IDCJAC0002,086338,2017,05,17.2,Y
IDCJAC0002,086338,2017,06,14.9,Y
IDCJAC0002,086338,2017,07,14.5,Y
IDCJAC0002,086338,2017,08,14.8,Y
IDCJAC0002,086338,2017,09,17.8,Y
IDCJAC0002,086338,2017,10,20.7,Y
IDCJAC0002,086338,2017,11,25.9,Y
IDCJAC0002,086338,2017,12,25.0,Y
IDCJAC0002,086338,2018,01,27.2,Y
IDCJAC0002,086338,2018,02,27.0,Y
IDCJAC0002,086338,2018,03,24.9,Y
IDCJAC0002,086338,2018,04,21.8,Y
IDCJAC0002,086338,2018,05,17.6,Y
IDCJAC0002,086338,2018,06,14.3,Y
IDCJAC0002,086338,2018,07,14.8,Y
